Customer ID,Invoice,InvoiceDate,Quantity,Price
30018,800407,2026-02-16 00:00:00,2,15.43
30032,800764,2026-07-18 00:00:00,7,16.06
30012,800258,2026-04-15 00:00:00,6,7.32
30008,800179,2026-05-22 00:00:00,1,16.83
30113,801419,2026-01-06 00:00:00,1,3.85
30012,800274,2026-07-17 00:00:00,7,16.46
30029,800676,2026-04-15 00:00:00,7,15.25
30092,801344,2025-10-15 00:00:00,2,10.38
30001,800001,2026-03-14 00:00:00,5,11.36
30004,800084,2026-07-20 00:00:00,4,11.35
30036,800859,2026-07-14 00:00:00,1,13.42
30100,801382,2025-08-24 00:00:00,3,10.63
30001,800015,2026-06-22 00:00:00,4,14.7
30083,801300,2026-06-03 00:00:00,4,8.24
30095,801361,2026-03-31 00:00:00,4,7.52
30088,801325,2026-02-09 00:00:00,1,8.51
30098,801373,2025-10-01 00:00:00,3,3.53
30034,800810,2026-06-08 00:00:00,8,16.32
30037,800865,2026-05-31 00:00:00,3,13.25
30019,800434,2025-12-19 00:00:00,2,9.73
30037,800863,2026-03-23 00:00:00,1,13.16
30046,800968,2026-02-07 00:00:00,4,3.93
30027,800654,2026-07-28 00:00:00,2,10.36
30030,800720,2026-07-18 00:00:00,4,14.64
30089,801331,2026-02-23 00:00:00,2,8.96
30020,800486,2026-07-17 00:00:00,3,12.21
30049,801005,2026-06-06 00:00:00,4,7.16
30024,800575,2026-03-03 00:00:00,4,9.49
30034,800812,2026-06-19 00:00:00,7,17.97
30024,800589,2026-07-14 00:00:00,2,15.42
30035,800834,2026-06-03 00:00:00,2,3.98
30019,800448,2026-04-03 00:00:00,1,12.17
30020,800458,2025-09-30 00:00:00,2,15.83
30083,801300,2026-06-03 00:00:00,3,6.48
30126,801440,2026-03-16 00:00:00,3,2.41
30028,800665,2026-05-20 00:00:00,5,5.19
30026,800623,2026-03-20 00:00:00,3,12.99
30010,800223,2026-07-03 00:00:00,1,6.8
30034,800795,2026-03-12 00:00:00,8,13.93
30011,800242,2026-06-20 00:00:00,1,13.21
30016,800359,2026-04-24 00:00:00,5,6.56
30041,800906,2025-12-28 00:00:00,6,14.36
30065,801185,2026-07-01 00:00:00,4,11.95
30070,801231,2026-01-14 00:00:00,5,9.63
30097,801372,2026-04-08 00:00:00,1,6.76
30041,800906,2025-12-28 00:00:00,1,3.83
30003,800045,2026-02-06 00:00:00,7,5.37
30121,801432,2025-12-24 00:00:00,3,7.81
30046,800966,2025-11-25 00:00:00,3,11.85
30025,800592,2025-11-04 00:00:00,6,17.63
30036,800852,2026-03-07 00:00:00,3,7.8
30007,800147,2026-06-09 00:00:00,7,6.91
30038,800878,2026-03-18 00:00:00,2,8.78
30016,800362,2026-06-03 00:00:00,8,6.51
30001,800005,2026-03-31 00:00:00,1,11.31
30064,801162,2026-04-22 00:00:00,5,5.81
30011,800238,2026-05-18 00:00:00,4,6.25
30026,800618,2026-02-07 00:00:00,4,9.8
30024,800574,2026-02-18 00:00:00,6,14.04
30080,801282,2025-11-07 00:00:00,3,3.7
30096,801365,2026-03-23 00:00:00,2,6.35
30007,800150,2026-07-01 00:00:00,5,5.3
30085,801311,2026-03-22 00:00:00,2,3.62
30014,800329,2026-07-23 00:00:00,2,14.84
30080,801285,2026-02-19 00:00:00,3,10.64
30013,800275,2026-03-21 00:00:00,4,11.45
30014,800317,2026-03-04 00:00:00,4,8.64
30093,801350,2025-08-01 00:00:00,4,9.43
30005,800086,2026-05-09 00:00:00,3,13.13
30033,800777,2026-05-08 00:00:00,2,3.4
30120,801431,2026-03-07 00:00:00,1,8.18
30056,801075,2026-04-04 00:00:00,1,13.34
30019,800432,2025-12-13 00:00:00,2,17.2
30012,800271,2026-07-03 00:00:00,1,16.73
30014,800325,2026-05-07 00:00:00,2,5.26
30047,800979,2026-04-23 00:00:00,6,3.39
30079,801281,2026-05-01 00:00:00,4,5.92
30083,801296,2026-04-24 00:00:00,1,2.33
30053,801043,2025-10-27 00:00:00,4,6.17
30058,801099,2026-04-04 00:00:00,5,5.27
30044,800953,2026-06-20 00:00:00,6,5.95
30100,801386,2026-02-13 00:00:00,4,9.6
30022,800534,2026-07-22 00:00:00,6,13.27
30024,800591,2026-07-18 00:00:00,2,17.26
30003,800038,2025-10-10 00:00:00,7,16.56
30080,801288,2026-04-13 00:00:00,2,5.29
30020,800484,2026-06-06 00:00:00,5,13.43
30044,800951,2026-04-19 00:00:00,6,9.52
30041,800910,2026-02-22 00:00:00,6,3.48
30026,800627,2026-05-03 00:00:00,7,16.29
30002,800029,2026-06-12 00:00:00,7,17.8
30010,800207,2026-03-10 00:00:00,7,5.46
30017,800383,2026-03-21 00:00:00,7,4.86
30012,800273,2026-07-10 00:00:00,3,4.0
30006,800124,2026-02-05 00:00:00,6,5.63
30001,800011,2026-06-10 00:00:00,5,6.23
30021,800490,2026-03-30 00:00:00,2,12.22
30069,801225,2026-06-15 00:00:00,5,4.54
